id,ceremony,material_culture,landscape,kinship,chrfpp,ceremony_absence_cues,material_culture_absence_cues,landscape_absence_cues,kinship_absence_cues
bzd_000,1,1,1,1,1.93,,,,
bzd_001,1,1,1,1,2.82,,,,
bzd_002,1,1,0,0,6.73,,,informacion; puede determinar,personas
bzd_003,0,0,1,1,5.66,elementos,ven,,
bzd_004,0,1,1,1,3.66,elementos,,,
bzd_005,1,1,0,0,4.44,,,informacion; puede determinar,personas
bzd_006,0,1,1,1,8.50,elementos,,,
bzd_007,0,0,1,0,6.20,puede determinar,observan,,puede determinar
bzd_008,0,1,1,1,5.11,puede determinar,,,
bzd_009,1,1,1,0,3.98,,,,personas
bzd_010,0,1,1,0,3.08,elementos; puede determinar,,,puede determinar
bzd_011,1,1,1,1,1.52,,,,
bzd_012,0,0,1,0,3.58,observa; observan,observan,,personas
bzd_013,1,1,1,1,3.16,,,,
bzd_014,1,0,1,0,4.91,,elementos,,personas
bzd_015,0,0,0,0,1.34,puede determinar,elementos; observan,puede determinar,personas
bzd_016,0,0,1,0,1.98,elementos; observa,elementos,,personas
bzd_017,0,1,1,0,5.70,elementos,,,personas
bzd_018,1,1,1,0,4.39,,,,puede determinar
bzd_019,1,1,1,0,4.81,,,,puede determinar
bzd_020,1,1,1,0,1.61,,,,informacion
bzd_021,1,1,0,0,6.26,,,observa,puede determinar
bzd_022,0,1,0,0,4.37,observa,,puede determinar,personas
bzd_023,1,0,1,1,6.43,,elementos,,
bzd_024,1,0,1,1,3.77,,elementos,,
bzd_025,0,1,1,0,6.44,elementos,,,puede determinar
bzd_026,0,0,1,1,2.87,elementos,elementos,,
bzd_027,0,0,1,0,4.68,elementos; observa,elementos,,personas
bzd_028,0,0,1,1,4.64,puede determinar,ve,,
bzd_029,1,0,1,1,3.48,,ven,,
bzd_030,1,1,0,0,2.75,,,observan,personas
bzd_031,1,0,1,1,3.70,,elementos,,
bzd_032,1,1,1,1,3.57,,,,
bzd_033,1,0,1,1,2.23,,instrumentos,,
bzd_034,0,1,0,1,4.22,puede determinar,,puede determinar,
bzd_035,0,1,1,0,4.43,elementos; observan,,,personas
bzd_036,1,1,1,0,0.93,,,,personas
bzd_037,0,0,1,1,4.48,elementos,ven,,
bzd_038,1,0,1,0,4.03,,elementos,,puede determinar
bzd_039,0,0,1,1,2.72,observa,elementos,,
bzd_040,1,1,1,1,5.25,,,,
bzd_041,1,1,1,1,6.70,,,,
bzd_042,1,1,1,1,4.38,,,,
bzd_043,1,0,1,0,5.47,,observan,,personas
bzd_044,1,1,0,0,4.83,,,informacion,personas
bzd_045,0,1,1,0,6.91,puede determinar,,,puede determinar
bzd_046,1,0,1,1,6.62,,observan,,
bzd_047,0,0,1,0,6.82,puede determinar,elementos,,puede determinar
bzd_048,0,0,1,0,7.79,observa,elementos; observan,,personas
bzd_049,1,0,1,1,4.81,,elementos,,
