id,ceremony,material_culture,landscape,kinship,chrfpp,ceremony_absence_cues,material_culture_absence_cues,landscape_absence_cues,kinship_absence_cues
grn_001,1,0,1,0,,,instrumentos; vestimentas,,personas
grn_002,1,1,1,1,,,,,
grn_003,0,0,1,1,,elementos,elementos,,
grn_004,1,0,0,0,,,elementos,puede determinar,personas
grn_005,0,1,0,0,,elementos; puede determinar,,elementos,personas; puede determinar
grn_006,1,0,1,1,,,elementos; observan; ven,,
grn_007,1,1,1,1,,,,,
grn_008,1,0,1,0,,,elementos,,puede determinar
grn_009,1,0,0,0,,,observan,informacion,personas
grn_010,1,1,1,1,,,,,
grn_011,1,0,0,0,,,ven,informacion,personas
grn_012,1,0,0,0,,,elementos; observan,informacion,personas
grn_013,0,1,1,0,,elementos,,,personas
grn_014,0,1,0,0,,observan; puede determinar,,elementos; puede determinar,personas
grn_015,0,0,1,0,,elementos; observan,elementos,,personas
grn_016,0,1,1,1,,elementos; observa; puede determinar,,,
grn_017,0,1,0,0,,elementos,,informacion,elementos
grn_018,1,1,1,1,,,,,
grn_019,1,1,0,0,,,,puede determinar,informacion
grn_020,1,0,1,0,,,elementos,,personas
grn_021,1,0,1,1,,,elementos,,
grn_022,0,0,1,1,,elementos; observa,elementos,,
grn_023,1,1,1,0,,,,,personas
grn_024,0,1,1,0,,puede determinar,,,puede determinar
grn_025,1,1,1,1,,,,,
grn_026,0,0,0,0,,elementos,elementos,es,personas
grn_027,0,1,1,1,,elementos; observa,,,
grn_028,1,1,1,0,,,,,personas
grn_029,1,0,0,0,,,elementos,puede determinar,personas
grn_030,1,0,1,0,,,elementos; observan,,personas
grn_031,1,1,1,0,,,,,personas
grn_032,1,1,0,0,,,,puede determinar,informacion
grn_033,0,0,1,1,,elementos,elementos,,
grn_034,1,1,0,0,,,,observan,puede determinar
grn_035,1,1,1,1,,,,,
grn_036,0,1,1,0,,elementos; observan,,,personas
grn_037,0,0,0,0,,elementos,elementos; puede determinar,informacion,personas
grn_038,1,0,1,1,,,elementos,,
grn_039,1,0,0,0,,,vestimenta,informacion,personas
grn_040,1,0,1,0,,,elementos,,personas
grn_041,1,0,1,0,,,ven,,personas
grn_042,1,0,0,0,,,elementos,puede determinar,personas
grn_043,0,0,1,0,,elementos,elementos,,puede determinar
grn_044,1,0,0,0,,,elementos,informacion,informacion
grn_045,1,1,1,1,,,,,
grn_046,0,0,1,0,,puede determinar,elementos,,personas
grn_047,1,0,1,0,,,elementos; puede determinar,,personas
grn_048,0,1,1,1,,elementos,,,
grn_049,1,0,1,0,,,elementos; observan,,personas
grn_050,1,0,0,0,,,vestimentas,informacion,informacion
