id,ceremony,material_culture,landscape,kinship,chrfpp,ceremony_absence_cues,material_culture_absence_cues,landscape_absence_cues,kinship_absence_cues
yua_001,1,0,1,0,24.57,,elementos,,personas
yua_002,0,0,1,0,24.49,observan,elementos,,personas
yua_003,1,0,0,0,29.77,,elementos; ven,elementos,puede determinar
yua_004,0,0,0,0,17.94,elementos,elementos,informacion,personas
yua_005,0,0,0,0,16.16,elementos,elementos,puede determinar,personas
yua_006,0,0,0,0,14.93,elementos,instrumentos; observan,informacion,personas
yua_007,0,0,1,1,12.63,elementos,elementos,,
yua_008,0,0,1,0,17.85,elementos,elementos; observan,,ven
yua_009,1,0,1,0,12.39,,puede determinar,,informacion
yua_010,0,0,1,0,14.36,puede determinar,elementos,,informacion
yua_011,0,1,1,0,15.52,elementos,,,personas
yua_012,1,1,1,0,23.72,,,,personas
yua_013,0,0,1,0,22.08,elementos,elementos,,informacion
yua_014,0,1,1,1,19.18,elementos; puede determinar,,,
yua_015,0,0,1,0,17.06,observa,elementos,,informacion; personas
yua_016,0,0,1,0,21.95,observa,elementos,,personas
yua_017,1,0,1,1,13.46,,elementos,,
yua_018,0,0,1,0,30.25,elementos,elementos,,personas
yua_019,0,1,1,0,20.86,elementos,,,personas
yua_020,0,0,0,0,14.11,observan,elementos; observan,elementos; observan,informacion; personas
yua_021,1,0,1,0,19.44,,elementos,,personas; puede determinar
yua_022,0,0,1,1,20.54,observa,ven,,
yua_024,0,1,1,1,12.65,observa,,,
yua_025,0,1,1,1,8.63,puede determinar,,,
yua_026,0,0,1,1,25.17,observa,elementos; puede determinar,,
yua_027,0,0,1,0,26.11,observan,elementos,,personas
yua_028,1,0,1,1,17.28,,instrumentos,,
yua_029,0,0,1,0,15.10,es; observan,elementos,,personas
yua_030,0,0,1,1,18.68,elementos; observa,instrumentos,,
yua_031,0,0,1,1,31.81,elementos,elementos; observan,,
yua_032,0,0,1,0,15.55,elementos; puede determinar,elementos,,personas
yua_033,1,1,1,0,18.65,,,,personas
yua_034,1,1,1,0,21.11,,,,personas
yua_035,1,1,1,1,24.61,,,,
yua_036,0,1,1,0,9.88,puede determinar,,,personas
yua_037,0,0,1,1,14.89,observan,ve,,
yua_038,0,0,1,1,29.00,elementos; puede determinar,elementos,,
yua_039,0,0,1,1,19.83,elementos; observan,elementos; observan,,
yua_040,0,1,1,0,17.30,observa,,,ven
yua_041,0,0,1,0,13.35,elementos; puede determinar,elementos,,personas
yua_042,0,0,1,1,26.74,elementos,elementos,,
yua_043,1,0,0,1,17.05,,instrumentos,observa,
yua_044,0,0,1,0,15.56,elementos,elementos,,personas
yua_045,0,0,1,0,27.21,elementos; ven,observan,,personas
yua_046,0,0,1,0,29.21,puede determinar,elementos,,personas
yua_047,0,0,1,0,13.33,elementos; observa,elementos,,personas
yua_048,1,0,1,0,25.62,,elementos; observan,,informacion
yua_049,0,0,1,0,20.86,elementos,elementos,,personas
yua_050,0,1,1,1,19.10,elementos,,,
yua_051,0,0,1,0,20.20,elementos; observa,elementos; observan,,personas
