id,ceremony,material_culture,landscape,kinship,chrfpp,ceremony_absence_cues,material_culture_absence_cues,landscape_absence_cues,kinship_absence_cues
nlv_001,1,0,1,1,18.60,,observan,,
nlv_002,0,0,1,1,16.53,elementos,elementos,,
nlv_003,0,0,1,1,14.12,elementos,elementos,,
nlv_004,0,1,1,0,17.17,puede determinar,,,puede determinar
nlv_005,1,0,1,0,7.15,,observan; puede determinar,,puede determinar
nlv_006,0,1,1,0,17.88,puede determinar,,,puede determinar
nlv_007,1,1,0,0,15.66,,,observa,personas
nlv_008,0,1,1,1,13.75,elementos,,,
nlv_009,1,0,0,0,17.92,,elementos; observan,elementos,informacion
nlv_010,1,1,0,1,18.38,,,elementos; puede determinar,
nlv_011,0,1,1,0,21.92,elementos,,,informacion
nlv_012,1,0,1,1,14.63,,elementos,,
nlv_013,0,1,1,0,12.67,elementos,,,personas
nlv_014,0,0,1,0,14.93,observan,elementos; observan,,personas
nlv_015,0,0,1,0,12.06,elementos,elementos,,elementos
nlv_016,0,0,1,0,16.38,elementos; observa,elementos,,personas
nlv_017,0,0,1,0,11.72,elementos,instrumentos,,puede determinar
nlv_018,0,1,1,1,19.07,elementos,,,
nlv_019,0,0,1,0,6.51,elementos,elementos,,personas
nlv_020,0,0,0,0,15.76,elementos,elementos,ven,personas
nlv_021,0,0,0,0,14.16,observan,elementos,ven,puede determinar
nlv_023,0,0,1,0,19.53,observa,elementos,,personas
nlv_024,1,1,0,0,8.13,,,observa,puede determinar
nlv_025,0,1,1,0,21.74,observa,,,personas
nlv_026,1,0,1,0,16.91,,vestimentas,,personas
nlv_027,0,0,1,0,19.05,puede determinar,elementos,,personas
nlv_028,0,0,1,0,16.81,observan; puede determinar,elementos; observan,,personas
nlv_029,1,0,0,0,13.02,,elementos,informacion,personas
nlv_030,0,0,0,0,7.96,elementos,elementos,observa,personas
nlv_031,1,0,1,1,15.81,,elementos,,
nlv_032,0,1,0,0,18.45,elementos,,elementos,informacion
nlv_033,0,0,1,1,12.13,puede determinar,elementos,,
nlv_034,0,0,1,1,15.16,elementos,elementos,,
nlv_035,0,0,0,1,16.22,observan; puede determinar,ve,aprecian,
nlv_036,1,0,1,0,7.76,,elementos,,personas
nlv_037,1,0,1,1,13.30,,elementos,,
nlv_038,1,0,0,0,7.17,,vestimentas,informacion; puede determinar,personas
nlv_039,0,0,1,0,17.04,observa,elementos; observan,,personas
nlv_040,0,0,1,0,11.82,elementos; observan,elementos,,informacion
nlv_041,0,0,1,0,11.51,elementos; observa,vestimentas,,personas
nlv_042,0,1,1,1,23.58,elementos; observa,,,
nlv_043,0,0,1,0,14.66,observan,observan,,elementos
nlv_044,0,0,1,1,17.07,observa,instrumentos,,
nlv_045,1,0,0,0,16.70,,elementos,informacion,personas
nlv_046,0,1,0,0,13.69,elementos; puede determinar,,puede determinar,personas
nlv_047,1,0,1,0,13.44,,elementos; observan,,elementos
nlv_048,0,1,1,0,32.54,puede determinar,,,personas
nlv_049,0,0,1,1,25.62,observa,elementos,,
nlv_050,1,0,1,0,15.90,,elementos,,personas
nlv_051,1,0,1,1,16.45,,elementos,,
