id,ceremony,material_culture,landscape,kinship,chrfpp,ceremony_absence_cues,material_culture_absence_cues,landscape_absence_cues,kinship_absence_cues
hch_021,1,0,1,1,7.17,,vestimenta,,
hch_022,1,0,1,0,4.64,,elementos,,personas
hch_023,1,1,1,1,5.18,,,,
hch_024,0,0,1,1,11.65,observa,observan,,
hch_025,0,0,1,1,12.45,elementos,elementos,,
hch_026,0,0,1,1,8.21,elementos,puede determinar,,
hch_027,0,0,1,0,8.55,observa,elementos,,puede determinar
hch_028,0,0,1,0,8.47,elementos; observa,observan,,informacion
hch_029,0,0,1,1,13.67,elementos,vestimenta,,
hch_030,1,0,1,0,7.67,,es,,personas
hch_031,1,0,1,0,8.03,,elementos,,personas
hch_032,0,0,1,0,8.29,elementos,elementos,,elementos
hch_033,0,0,0,0,4.10,observan,elementos; observan,observa,personas
hch_034,0,0,0,0,9.69,elementos,elementos; observan,informacion,personas
hch_035,0,0,0,0,18.27,elementos,ven,elementos,personas
hch_036,0,1,1,0,14.53,observa,,,personas
hch_037,1,0,1,1,13.21,,instrumentos,,
hch_038,0,1,1,1,9.20,ve,,,
hch_039,1,1,1,0,7.66,,,,puede determinar
hch_040,0,1,1,1,2.27,elementos,,,
hch_041,0,0,0,0,5.47,puede determinar,elementos,es,personas
hch_042,0,0,1,1,8.25,observa; ven,elementos,,
hch_043,1,0,1,0,9.53,,ven,,personas
hch_044,1,0,1,1,9.01,,elementos,,
hch_045,1,1,1,1,8.69,,,,
hch_046,0,1,1,1,8.05,observan,,,
hch_047,0,0,1,0,4.06,observa,elementos,,personas
hch_048,0,0,1,0,9.76,elementos; observa,elementos,,personas
hch_049,0,0,1,1,5.75,observan,elementos,,
hch_050,0,1,1,1,7.96,elementos,,,
hch_051,1,1,1,1,14.82,,,,
hch_052,1,0,1,0,7.92,,elementos,,personas
hch_053,1,0,1,0,7.65,,elementos,,personas; puede determinar
hch_054,0,0,1,0,8.79,observa,puede determinar,,personas
hch_055,0,0,1,0,6.73,observa,elementos,,personas
hch_056,0,0,1,1,7.06,observa,elementos,,
hch_057,1,1,1,0,9.71,,,,personas
hch_058,1,0,1,1,15.59,,elementos,,
hch_059,0,1,1,1,5.70,observa,,,
hch_060,1,0,1,1,25.58,,elementos,,
hch_061,0,0,1,0,23.45,puede determinar,elementos,,personas
hch_062,0,0,1,1,7.96,elementos,elementos,,
hch_063,1,0,1,1,4.36,,elementos,,
hch_064,0,0,0,0,4.02,elementos,elementos,observa,personas
hch_065,0,1,1,1,6.23,observa,,,
hch_066,0,0,1,0,8.19,observa,elementos,,personas
hch_067,0,0,1,1,8.66,elementos; observa,elementos; ve,,
hch_068,0,0,1,1,10.36,observa,elementos,,
hch_069,0,0,1,0,8.24,observa,elementos,,personas
hch_070,1,1,1,0,9.26,,,,puede determinar
