id,gen_tokens,cvqa_tokens,annot_tokens,gen_materials,cvqa_materials,gen_culture_on,gen_culture_off,cvqa_culture_on,cvqa_culture_off,divergence_chrfpp,gen_chrfpp_gold,cvqa_chrfpp_gold
hch_001,35,77,700,0,0,0,0,0,0,20.9,23.3,22.8
hch_002,41,120,767,1,1,0,0,0,0,23.4,16.9,11.1
hch_003,45,89,905,1,0,1,0,1,0,26.8,29.2,27.7
hch_004,43,114,755,0,1,0,0,0,0,21.9,21.5,15.6
hch_005,43,79,747,0,1,0,0,0,0,27.5,22.1,17.6
hch_006,23,88,402,1,1,0,0,0,0,16.8,17.9,14.2
hch_007,46,98,805,0,0,0,0,0,0,20.5,19.2,13.6
hch_008,46,122,776,0,0,0,0,0,0,20.7,24.3,19.7
hch_009,38,104,585,2,0,0,0,0,0,17.9,20.3,20.2
hch_010,33,71,554,0,0,0,0,0,0,20.6,19.6,20.2
hch_011,41,129,844,1,2,0,0,0,0,16.4,25.0,16.7
hch_012,50,118,934,1,2,0,0,0,0,20.9,19.9,13.3
hch_013,45,116,881,0,1,0,0,0,0,19.1,21.6,15.5
hch_014,30,106,680,0,2,0,0,0,0,17.5,24.7,13.9
hch_015,35,94,642,0,0,0,0,0,0,23.7,18.2,11.4
hch_016,53,163,947,0,0,0,0,0,0,21.5,20.1,10.1
hch_017,24,104,726,0,0,0,0,0,0,16.8,19.8,15.5
hch_018,29,84,517,0,0,0,0,0,0,17.3,17.5,19.5
hch_019,33,114,644,0,0,0,0,0,0,15.2,16.1,12.0
hch_020,43,115,919,0,0,0,0,0,0,20.8,23.3,13.8
