id,gen_tokens,cvqa_tokens,annot_tokens,gen_materials,cvqa_materials,gen_culture_on,gen_culture_off,cvqa_culture_on,cvqa_culture_off,divergence_chrfpp,gen_chrfpp_gold,cvqa_chrfpp_gold
hch_001,30,20,702,0,0,0,0,0,0,45.7,22.5,18.6
hch_002,44,21,916,1,1,0,0,0,0,34.7,16.1,16.1
hch_003,38,26,813,1,0,1,0,1,0,51.8,28.0,25.6
hch_004,45,28,817,1,0,0,0,0,0,35.6,21.2,23.4
hch_005,34,22,568,0,1,0,0,0,0,26.2,21.5,16.9
hch_006,30,21,386,1,1,0,0,0,0,36.4,18.6,18.2
hch_007,33,19,603,0,0,0,0,0,0,42.3,17.2,30.6
hch_008,42,29,704,0,0,0,0,0,0,41.3,28.0,33.4
hch_009,32,21,690,1,0,0,0,0,0,40.8,20.4,22.6
hch_010,27,21,575,0,0,0,0,0,0,32.7,20.0,20.9
hch_011,32,26,878,1,2,0,0,0,0,28.2,25.4,23.8
hch_012,36,18,894,2,0,0,0,0,0,36.7,17.7,19.9
hch_013,47,26,921,0,1,0,0,0,0,29.1,21.1,18.2
hch_014,33,21,715,0,0,0,0,0,0,41.4,23.6,26.6
hch_015,29,25,468,0,0,0,0,0,0,51.2,18.6,18.3
hch_016,40,24,915,1,0,0,0,0,0,38.2,19.1,21.9
hch_017,25,17,634,0,0,0,0,0,0,36.9,20.3,22.9
hch_018,22,17,641,0,2,0,0,0,0,63.3,15.2,14.1
hch_019,33,22,540,0,0,0,0,0,0,27.6,16.0,17.4
hch_020,29,27,894,0,0,0,0,0,0,35.0,23.2,24.5
