id,gen_tokens,cvqa_tokens,annot_tokens,gen_materials,cvqa_materials,gen_culture_on,gen_culture_off,cvqa_culture_on,cvqa_culture_off,divergence_chrfpp,gen_chrfpp_gold,cvqa_chrfpp_gold
hch_001,24,22,622,0,0,0,0,0,0,46.6,21.8,21.1
hch_002,42,23,738,1,0,0,0,0,0,33.5,15.7,16.9
hch_003,38,29,839,1,0,1,0,0,0,45.7,28.2,26.3
hch_004,48,28,869,0,0,0,0,0,0,30.0,20.6,20.9
hch_005,42,27,732,0,0,0,0,0,0,36.9,22.9,20.9
hch_006,30,17,420,1,1,0,0,0,0,39.5,18.6,18.9
hch_007,32,15,657,0,1,0,0,0,0,27.3,24.7,27.5
hch_008,37,29,724,0,0,0,0,0,0,30.7,27.1,23.2
hch_009,38,23,651,2,0,0,0,0,0,45.5,20.3,20.7
hch_010,27,30,501,0,0,0,0,0,0,23.9,20.0,21.0
hch_011,41,24,958,1,0,0,0,0,0,33.0,24.7,21.9
hch_012,51,28,817,2,1,0,0,0,0,34.0,20.3,17.9
hch_013,40,26,1054,0,1,0,0,0,0,39.1,19.9,18.2
hch_014,32,16,660,0,0,0,0,0,0,46.3,23.3,24.8
hch_015,29,25,710,0,0,0,0,0,0,57.6,18.6,19.1
hch_016,53,26,924,0,1,0,0,0,0,37.4,19.7,20.7
hch_017,25,29,613,0,0,0,0,0,0,27.1,20.3,22.6
hch_018,29,26,589,0,1,0,0,0,0,36.3,17.6,17.9
hch_019,32,21,554,0,0,0,0,0,0,25.3,16.6,17.1
hch_020,34,27,826,0,1,0,0,0,0,45.2,19.6,19.8
